Ward,SchoolID,DeptID,SchoolShortName,SchoolLongName,GradeCat,CPSPositions,CTUMembers,CTUNetwork,Address,City,State,Zip
8,610312,26421,MCDOWELL,Mary E McDowell Elementary School,ES,24,15,12B,1419 E 89TH ST,Chicago,Illinois,60619
8,610316,26441,EARHART,Amelia Earhart Options for Knowledge ES,ES,24,16,12B,1710 E 93RD ST,Chicago,Illinois,60617
8,609827,29021,BURNSIDE,Burnside Elementary Scholastic Academy,ES,54,32,12B,650 E 91ST PL,Chicago,Illinois,60619
8,610350,29381,BLACK,Robert A Black Magnet Elementary School,ES,48,31,12A,9101 S EUCLID AVE,Chicago,Illinois,60617
8,610547,46631,SOUTH SHORE INTL HS,South Shore Intl College Prep High School,HS,73,47,017,1955 E 75TH ST,Chicago,Illinois,60649
8,609712,47031,HIRSCH HS,Emil G Hirsch Metropolitan High School,HS,32,18,017,7740 S INGLESIDE AVE,Chicago,Illinois,60619
8,609674,53011,CHICAGO VOCATIONAL HS,Chicago Vocational Career Academy High School,HS,125,63,017,2100 E 87TH ST,Chicago,Illinois,60617
8,400023,66371,CICS - AVALON/SOUTH SHORE,CICS - Avalon/South Shore,ES,0,0,,1501 E 83RD PL,Chicago,Illinois,60619
8,400136,66621,YCCS - OLIVE HARVEY,YCCS-Olive Harvey Middle College HS,HS,0,0,,10001 S WOODLAWN AVE,Chicago,Illinois,60628
8,400139,66623,YCCS - SULLIVAN,YCCS-Sullivan House Alternative HS,HS,2,0,,8164 S SOUTH CHICAGO AVE,Chicago,Illinois,60617
8,400150,66631,YCCS - CHATHAM,YCCS-Chatham AcademyHS,HS,2,0,,9035 S LANGLEY AVE,Chicago,Illinois,60619
8,400181,69228,ART IN MOTION,Art in Motion Charter School,HS,0,0,,7415 S EAST END,Chicago,IL,60649
9,609800,22241,BENNETT,Frank I Bennett Elementary School,ES,34,22,13A,10115 S PRAIRIE AVE,Chicago,Illinois,60628
